station1,station2,time,dist,line,flag,id1,id2,direction1,direction2,id0,station1_count,2d
Park Royal (pw),Alperton (pw),150,1980,p,t,176.2,4.2,w,w,176,8,FALSE
Alperton (pw),Sudbury Town (pw),150,1580,p,t,4.2,225.2,w,w,4,6,TRUE
Sudbury Town (pw),Sudbury Hill (pw),150,1660,p,t,225.2,224.2,w,w,225,6,TRUE
Sudbury Hill (pw),South Harrow (pw),150,1370,p,t,224.2,206.2,w,w,224,6,TRUE
South Harrow (pw),Rayners Lane (mpn),195,1900,p,t,206.2,189.1,w,n,206,6,TRUE
Oakwood (pe),Cockfosters (pe),165,1270,p,t,169.1,53.1,e,e,169,6,TRUE
Southgate (pe),Oakwood (pe),180,1870,p,t,213.1,169.1,e,e,213,6,TRUE
Arnos Grove (pe),Southgate (pe),165,1950,p,t,8.1,213.1,e,e,8,6,TRUE
Bounds Green (pe),Arnos Grove (pe),210,1260,p,t,28.1,8.1,e,e,28,6,TRUE
Wood Green (pe),Bounds Green (pe),150,1530,p,t,269.1,28.1,e,e,269,6,TRUE
Turnpike Lane (pe),Wood Green (pe),120,980,p,t,237.1,269.1,e,e,237,6,TRUE
Manor House (pe),Turnpike Lane (pe),195,2320,p,t,144.1,237.1,e,e,144,6,TRUE
Finsbury Park (pe),Manor House (pe),120,1050,p,t,83.1,144.1,e,e,83,12,FALSE
Arsenal (pe),Finsbury Park (pe),105,690,p,t,9.1,83.1,e,e,9,6,TRUE
Holloway Road (pe),Arsenal (pe),90,740,p,t,115.1,9.1,e,e,115,6,TRUE
Caledonian Road (pe),Holloway Road (pe),90,600,p,t,35.1,115.1,e,e,35,6,TRUE
Kings Cross St Pancras (pe),Caledonian Road (pe),180,1960,p,t,130.3,35.1,e,e,130,24,FALSE
Russell Square (pe),Kings Cross St Pancras (pe),135,920,p,t,199.1,130.3,e,e,199,6,TRUE
Holborn (pe),Russell Square (pe),120,720,p,t,113.3,199.1,e,e,113,12,FALSE
Covent Garden (pe),Holborn (pe),120,600,p,t,56.1,113.3,e,e,56,6,TRUE
Leicester Square (pe),Covent Garden (pe),60,260,p,t,137.3,56.1,e,e,137,12,FALSE
Piccadilly Circus (pe),Leicester Square (pe),105,500,p,t,179.3,137.3,e,e,179,12,FALSE
Green Park (pe),Piccadilly Circus (pe),90,560,p,t,92.3,179.3,e,e,92,18,FALSE
Hyde Park Corner (pe),Green Park (pe),135,1060,p,t,120.1,92.3,e,e,120,6,TRUE
Knightsbridge (pe),Hyde Park Corner (pe),105,510,p,t,132.1,120.1,e,e,132,6,TRUE
South Kensington (pe),Knightsbridge (pe),165,1220,p,t,207.1,132.1,e,e,207,12,FALSE
Gloucester Road (pe),South Kensington (pe),90,710,p,t,86.1,207.1,e,e,86,13,FALSE
Earls Court (pe),Gloucester Road (pe),120,790,p,t,64.3,86.1,e,e,64,15,FALSE
Barons Court (pe),Earls Court (pe),195,1630,p,t,16.3,64.3,e,e,16,12,FALSE
Hammersmith (DP) (pe),Barons Court (pe),90,680,p,t,96.3,16.3,e,e,96,12,FALSE
Acton Town (pe),Hammersmith (DP) (pe),360,4410,p,t,1.3,96.3,e,e,1,13,FALSE
South Ealing (pe),Acton Town (pe),225,2200,p,t,205.1,1.3,e,e,205,6,TRUE
Northfields (pe),South Ealing (pe),75,390,p,t,163.1,205.1,e,e,163,6,TRUE
Boston Manor (pe),Northfields (pe),150,1000,p,t,27.1,163.1,e,e,27,6,TRUE
Osterley (pe),Boston Manor (pe),195,2430,p,t,171.1,27.1,e,e,171,6,TRUE
Hounslow East (pe),Osterley (pe),120,970,p,t,118.1,171.1,e,e,118,6,TRUE
Hounslow Central (pe),Hounslow East (pe),90,740,p,t,117.1,118.1,e,e,117,6,TRUE
