,complete_bonus,beta,eta,alpha,tau,num_visited_per_episode,steps_per_episode,last_station,mean_num_visited,median_steps
71,1000,100,100,0.1,0.0001,"[272, 272, 272, 270, 271, 270, 272, 272, 272, 272]","[4149, 12138, 6129, 19999, 19999, 19999, 8094, 11694, 7306, 7283]","['Amersham (mn)', 'Chesham (mn)', 'Epping (ce)', 'Hyde Park Corner (pe)', 'Regents Park (bs)', 'South Harrow (pw)', 'Epping (ce)', 'Epping (ce)', 'Upminster (de)', 'Epping (ce)']",271.5,9894.0
42,100,10,1,0.1,0.1,"[272, 272, 272, 272, 272, 270, 272, 271, 270, 270]","[5044, 7759, 11442, 5664, 8873, 19999, 7699, 19999, 19999, 19999]","['Blackhorse Road (vn)', 'Chesham (mn)', 'Amersham (mn)', 'Chesham (mn)', 'Watford (mn)', 'South Kensington', 'Epping (ce)', 'Old Street (nn)', 'Baker Street (bn)', 'Upminster Bridge (dw)']",271.3,10157.5
66,1000,100,1,0.1,0.1,"[272, 272, 272, 270, 272, 272, 272, 272, 272, 272]","[10465, 14405, 9289, 19999, 7955, 12692, 15317, 10652, 6623, 8799]","['Amersham (mn)', 'Chesham (mn)', 'Uxbridge (mpn)', 'Westminster (jw)', 'Barbican (rhme)', 'Uxbridge (mpn)', 'Epping (ce)', 'Epping (ce)', 'Edgware (nn)', 'Richmond (dw)']",271.8,10558.5
40,100,1,100,0.1,0.1,"[272, 272, 272, 272, 272, 271, 272, 272, 272, 272]","[5485, 9789, 11055, 7170, 12630, 19999, 12393, 11487, 8137, 10899]","['Amersham (mn)', 'Chesham (mn)', 'Watford (mn)', 'Richmond (dw)', 'Amersham (mn)', 'Clapham Common (ns)', 'Brixton (vs)', 'Kentish Town (ns)', 'St Jamess Park (rdw)', 'Uxbridge (mpn)']",271.9,10977.0
68,1000,100,10,0.1,0.1,"[272, 272, 272, 270, 269, 272, 271, 272, 272, 272]","[3589, 12314, 7211, 19999, 19999, 7625, 19999, 19902, 12230, 7881]","['Chesham (mn)', 'Amersham (mn)', 'Stanmore (jw)', 'Goodge Street (ns)', 'Bond Street (je)', 'Bayswater (rdw)', 'Bond Street (jw)', 'Stanmore (jw)', 'Mill Hill East (nn)', 'South Woodford (cw)']",271.4,12272.0
43,100,10,1,0.1,0.0001,"[272, 272, 272, 272, 272, 272, 271, 271, 269, 271]","[5050, 4523, 11440, 10056, 15382, 8343, 19999, 19999, 19999, 19999]","['Heathrow Terminal 5 (pw)', 'Heathrow Terminal 5 (pw)', 'Heathrow Terminal 4 (pw)', 'Heathrow Terminal 5 (pw)', 'Heathrow Terminal 5 (pw)', 'Oakwood (pe)', 'Embankment', 'Stratford (cw)', 'Monument (rde)', 'St Pauls (ce)']",271.4,13411.0
38,100,1,10,0.1,0.1,"[272, 272, 272, 271, 271, 271, 271, 272, 272, 272]","[5684, 9612, 8534, 19999, 19999, 19999, 19999, 9234, 15187, 12415]","['Chesham (mn)', 'Amersham (mn)', 'Seven Sisters (vs)', 'Finsbury Park (vs)', 'Warwick Avenue (bn)', 'Mile End (dhw)', 'Morden (nn)', 'Watford (mn)', 'Uxbridge (mpn)', 'Harrow & Wealdstone (bn)']",271.6,13801.0
70,1000,100,100,0.1,0.1,"[272, 272, 272, 270, 270, 272, 272, 272, 272, 272]","[7113, 7685, 6117, 19999, 19999, 10898, 18560, 17714, 11820, 16863]","['Chesham (mn)', 'Amersham (mn)', 'Leicester Square (pe)', 'Finchley Central', 'Wood Green (pe)', 'Upminster (de)', 'Amersham (mn)', 'Chesham (mn)', 'High Barnet (nn)', 'Epping (ce)']",271.6,14341.5
36,100,1,1,0.1,0.1,"[272, 272, 272, 270, 268, 272, 270, 270, 272, 272]","[6741, 12081, 5423, 19999, 19999, 7672, 19999, 19999, 16659, 6266]","['Chesham (mn)', 'Amersham (mn)', 'Watford (mn)', 'Barons Court (dw)', 'Piccadilly Circus', 'Cockfosters (pe)', 'Ealing Common (pe)', 'Angel (ns)', 'Cockfosters (pe)', 'Brixton (vs)']",271.0,14370.0
64,1000,10,100,0.1,0.1,"[272, 272, 272, 272, 272, 272, 272, 271, 271, 271]","[5614, 5294, 16884, 10460, 13749, 19103, 8228, 19999, 19999, 19999]","['Heathrow Terminal 5 (pw)', 'Heathrow Terminal 4 (pw)', 'Heathrow Terminal 5 (pw)', 'Bermondsey (jw)', 'Mornington Crescent (nn)', 'Upminster (de)', 'Heathrow Terminal 4 (pw)', 'Warren Street', 'Kings Cross St Pancras (pe)', 'Harrow & Wealdstone (bn)']",271.7,15316.5
